0 0 0|0000000 0000000 0000000 0000000 0000000 0000000 0000000 

1 1100000 2|0100000 1000000 0000000 0000000 0000000 0000000 0000000 

2 2110000 2|0110000 1000000 1000000 0000000 0000000 0000000 0000000 
2 1111000 4|0100000 1000000 0001000 0010000 0000000 0000000 0000000 

3,2220000,3|0000000 0000000 0000000 0000000 0000011 0000101 0000110 
3,3111000,2|0000000 0000000 0000000 0000001 0000001 0000001 0001110 
3,2211000,4|0000000 0000000 0000000 0000010 0000001 0001001 0000110 
3,2111100,4|0000000 0000000 0001000 0010000 0000001 0000001 0000110 
3,1111110,6|0000000 0010000 0100000 0000100 0001000 0000001 0000010 

4,3221000,4|0000000 0000000 0000000 0000001 0000011 0000101 0001110 
4,2221100,5|0000000 0000000 0001000 0010000 0000011 0000101 0000110 
4,4111100,2|0000000 0000000 0000001 0000001 0000001 0000001 0011110 
4,3211100,4|0000000 0000000 0000010 0000001 0000001 0010001 0001110 
4,3111110,4|0000000 0010000 0100000 0000001 0000001 0000001 0001110 
4,2222000,2|0000000 0000000 0000000 0000110 0001001 0001001 0000110 
4,2221100,4|0000000 0000000 0000100 0000010 0010001 0001001 0000110 
4,2211110,6|0000000 0010000 0100000 0000010 0000001 0001001 0000110 
4,2211110,4|0000000 0001000 0001000 0110000 0000001 0000001 0000110 
4,2111111,6|0100000 1000000 0001000 0010000 0000001 0000001 0000110 

5,3322000,3|0000000 0000000 0000000 0000011 0000011 0001101 0001110 
5,4221100,4|0000000 0000000 0000001 0000001 0000011 0000101 0011110 
5,3321100,4|0000000 0000000 0000010 0000001 0000011 0010101 0001110 
5,3222100,5|0000000 0000000 0001000 0010001 0000011 0000101 0001110 
5,3221110,6|0000000 0010000 0100000 0000001 0000011 0000101 0001110 
5,2222110,5|0000000 0001000 0001000 0110000 0000011 0000101 0000110 
5,2221111,7|0100000 1000000 0001000 0010000 0000011 0000101 0000110 
5,5111110,2|0000000 0000001 0000001 0000001 0000001 0000001 0111110 
5,4211110,4|0000000 0000010 0000001 0000001 0000001 0100001 0011110 
5,4111111,4|0100000 1000000 0000001 0000001 0000001 0000001 0011110 
5,3222100,4|0000000 0000000 0000110 0000001 0010001 0010001 0001110 
5,3311110,4|0000000 0000010 0000010 0000001 0000001 0110001 0001110 
5,3221110,4|0000000 0010000 0100010 0000001 0000001 0010001 0001110 
5,3211111,6|0100000 1000000 0000010 0000001 0000001 0010001 0001110 
5,3211111,4|0010000 0010000 1100000 0000001 0000001 0000001 0001110 
5,2222110,4|0000000 0010000 0100000 0000110 0001001 0001001 0000110 
5,2222200,5|0000000 0000000 0001100 0010010 0010001 0001001 0000110 
5,2222110,6|0000000 0001000 0000100 0100010 0010001 0001001 0000110 
5,2221111,6|0100000 1000000 0000100 0000010 0010001 0001001 0000110 

6,3333000,4|0000000 0000000 0000000 0000111 0001011 0001101 0001110 
6,4322100,4|0000000 0000000 0000001 0000011 0000011 0001101 0011110 
6,3332100,5|0000000 0000000 0000100 0000011 0010011 0001101 0001110 
6,3322110,5|0000000 0010000 0100000 0000011 0000011 0001101 0001110 
6,4222200,5|0000000 0000000 0001001 0010001 0000011 0000101 0011110 
6,5221110,4|0000000 0000001 0000001 0000001 0000011 0000101 0111110 
6,4321110,4|0000000 0000010 0000001 0000001 0000011 0100101 0011110 
6,4222110,6|0000000 0001000 0000001 0100001 0000011 0000101 0011110 
6,4221111,6|0100000 1000000 0000001 0000001 0000011 0000101 0011110 
6,3322200,4|0000000 0000000 0001010 0010001 0000011 0010101 0001110 
6,3331110,6|0000000 0000100 0000010 0000001 0100011 0010101 0001110 
6,3322110,6|0000000 0001000 0000010 0100001 0000011 0010101 0001110 
6,3321111,6|0100000 1000000 0000010 0000001 0000011 0010101 0001110 
6,3222210,6|0000000 0010000 0101000 0010001 0000011 0000101 0001110 
6,3222111,7|0100000 1000000 0001000 0010001 0000011 0000101 0001110 
6,3222111,6|0010000 0010000 1100000 0000001 0000011 0000101 0001110 
6,2222220,6|0000000 0011000 0101000 0110000 0000011 0000101 0000110 
6,3222111,5|0001000 0001000 0001000 1110000 0000011 0000101 0000110 
6,2222211,7|0010000 0001000 1001000 0110000 0000011 0000101 0000110 
6,6111111,2|0000001 0000001 0000001 0000001 0000001 0000001 1111110 
6,5211111,4|0000010 0000001 0000001 0000001 0000001 1000001 0111110 
6,4222110,4|0000000 0000110 0000001 0000001 0100001 0100001 0011110 
6,4311111,4|0000010 0000010 0000001 0000001 0000001 1100001 0011110 
6,4221111,4|0100000 1000010 0000001 0000001 0000001 0100001 0011110 
6,3322200,2|0000000 0000000 0001110 0010001 0010001 0010001 0001110 
6,3222210,4|0000000 0001000 0000110 0100001 0010001 0010001 0001110 
6,3322110,4|0000000 0010000 0100110 0000001 0010001 0010001 0001110 
6,3321111,4|0010000 0010000 1100010 0000001 0000001 0010001 0001110 
6,2222211,4|0010000 0010000 1100000 0000110 0001001 0001001 0000110 
6,2222211,6|0010000 0001000 1000100 0100010 0010001 0001001 0000110 

7,4333100,5|0000000 0000000 0000001 0000111 0001011 0001101 0011110 
7,3333110,6|0000000 0010000 0100000 0000111 0001011 0001101 0001110 
7,4422200,3|0000000 0000000 0000011 0000011 0000011 0011101 0011110 
7,4332200,5|0000000 0000000 0000101 0000011 0010011 0001101 0011110 
7,5322110,4|0000000 0000001 0000001 0000011 0000011 0001101 0111110 
7,4422110,4|0000000 0000010 0000001 0000011 0000011 0101101 0011110 
